,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
1,11140, 회현동1가,2015,1,1~10,남산 롯데캐슬 아이리스,2011,9,33.81,"    36,000"
2,11140, 회현동1가,2015,1,11~20,남산 롯데캐슬 아이리스,2011,25,33.81,"    37,000"
3,11140, 회현동2가,2015,1,1~10,쌍용남산플래티넘,2010,16,158.97,"   110,000"
4,11140, 충무로4가,2015,1,21~31,남산센트럴 자이,2009,31,135.533,"    98,000"
5,11140, 인현동2가,2015,1,11~20,신성상가,1968,8,41.62,"    13,500"
6,11140, 신당동,2015,1,1~10,래미안하이베르,2011,13,117,"    66,700"
7,11140, 신당동,2015,1,1~10,약수하이츠,1999,12,57.63,"    39,000"
8,11140, 신당동,2015,1,1~10,삼성,1999,13,84.96,"    48,000"
9,11140, 신당동,2015,1,1~10,약수하이츠,1999,1,57.63,"    36,000"
0,11140, 회현동1가,2015,2,1~10,남산 SK LEADERS VIEW,2010,19,122.7,"    97,000"
1,11140, 회현동1가,2015,2,11~20,삼풍,1975,3,74.63,"    26,000"
2,11140, 회현동1가,2015,2,11~20,남산 롯데캐슬 아이리스,2011,29,176.42,"   138,000"
3,11140, 회현동1가,2015,2,11~20,남산 SK LEADERS VIEW,2010,29,244.7,"   205,000"
4,11140, 회현동1가,2015,2,21~28,남산 SK LEADERS VIEW,2010,21,205.62,"   153,000"
5,11140, 회현동2가,2015,2,21~28,쌍용남산플래티넘,2010,11,177,"   152,000"
6,11140, 묵정동,2015,2,1~10,묵정,1981,7,52.46,"    22,700"
7,11140, 예장동,2015,2,21~28,삼익,1999,2,114.48,"    42,000"
8,11140, 산림동,2015,2,21~28,청계상가,1971,8,69.42,"    20,300"
9,11140, 신당동,2015,2,1~10,청구e편한세상,2011,11,84.95,"    68,000"
0,11140, 남창동,2015,3,11~20,경서,1970,7,29.7,"    14,200"
1,11140, 회현동1가,2015,3,1~10,남산 SK LEADERS VIEW,2010,15,145.79,"   113,500"
2,11140, 회현동1가,2015,3,11~20,남산 롯데캐슬 아이리스,2011,20,40.9,"    50,750"
3,11140, 회현동1가,2015,3,11~20,삼풍,1975,6,98.53,"    36,000"
4,11140, 회현동1가,2015,3,11~20,남산 롯데캐슬 아이리스,2011,19,113.46,"    97,000"
5,11140, 회현동1가,2015,3,21~31,남산 SK LEADERS VIEW,2010,7,137.53,"    95,000"
6,11140, 회현동1가,2015,3,21~31,남산 롯데캐슬 아이리스,2011,27,176.42,"   135,000"
7,11140, 회현동1가,2015,3,21~31,남산 롯데캐슬 아이리스,2011,12,187.08,"   137,000"
8,11140, 회현동2가,2015,3,11~20,쌍용남산플래티넘,2010,23,139.8,"   115,000"
9,11140, 회현동2가,2015,3,21~31,쌍용남산플래티넘,2010,12,158.97,"   109,500"
0,11140, 회현동1가,2015,4,1~10,남산 SK LEADERS VIEW,2010,25,176.26,"   138,000"
1,11140, 회현동1가,2015,4,1~10,남산 SK LEADERS VIEW,2010,24,176.26,"   138,000"
2,11140, 회현동1가,2015,4,11~20,남산 롯데캐슬 아이리스,2011,8,113.46,"    95,000"
3,11140, 회현동1가,2015,4,11~20,삼풍,1975,7,68.96,"    28,000"
4,11140, 남산동2가,2015,4,21~30,남산퍼시픽,2003,1,62.64,"    36,000"
5,11140, 충무로4가,2015,4,1~10,남산센트럴 자이,2009,17,80.473,"    58,000"
6,11140, 예장동,2015,4,11~20,삼익,1999,4,112.5,"    48,000"
7,11140, 신당동,2015,4,1~10,삼성,1999,19,114.91,"    56,500"
8,11140, 신당동,2015,4,1~10,삼성,1999,19,84.96,"    48,500"
9,11140, 신당동,2015,4,1~10,래미안하이베르,2011,9,84.97,"    53,500"
0,11140, 남대문로5가,2015,5,1~10,남산트라팰리스,2010,15,116.11,"    99,000"
1,11140, 남대문로5가,2015,5,1~10,남산트라팰리스,2010,34,116.11,"   102,400"
2,11140, 회현동1가,2015,5,1~10,남산 롯데캐슬 아이리스,2011,7,187.08,"   138,000"
3,11140, 회현동1가,2015,5,1~10,남산 롯데캐슬 아이리스,2011,22,133.98,"   125,000"
4,11140, 회현동1가,2015,5,21~31,남산 롯데캐슬 아이리스,2011,7,113.46,"    94,000"
5,11140, 회현동1가,2015,5,21~31,남산 롯데캐슬 아이리스,2011,26,133.98,"   120,600"
6,11140, 회현동1가,2015,5,21~31,삼풍,1975,2,74.31,"    25,800"
7,11140, 회현동1가,2015,5,21~31,남산 롯데캐슬 아이리스,2011,27,113.46,"   100,000"
8,11140, 회현동2가,2015,5,11~20,쌍용남산플래티넘,2010,10,166.24,"   133,000"
9,11140, 충무로4가,2015,5,21~31,진양상가,1970,6,95.8,"    40,000"
0,11140, 회현동1가,2015,6,1~10,남산 SK LEADERS VIEW,2010,25,205.62,"   134,258"
1,11140, 회현동1가,2015,6,1~10,남산 롯데캐슬 아이리스,2011,10,133.98,"   110,000"
2,11140, 충무로4가,2015,6,1~10,진양상가,1970,13,78.28,"    30,500"
3,11140, 충무로4가,2015,6,1~10,남산센트럴 자이,2009,16,89.307,"    64,000"
4,11140, 충무로4가,2015,6,11~20,진양상가,1970,15,71.93,"    29,000"
5,11140, 충무로4가,2015,6,11~20,진양상가,1970,8,87.27,"    34,000"
6,11140, 충무로4가,2015,6,21~30,남산센트럴 자이,2009,20,89.307,"    62,500"
7,11140, 묵정동,2015,6,1~10,묵정,1981,5,52.46,"    25,900"
8,11140, 묵정동,2015,6,11~20,묵정,1981,6,52.46,"    23,500"
9,11140, 신당동,2015,6,1~10,신당푸르지오,2005,4,84.39,"    51,500"
0,11140, 회현동1가,2015,7,1~10,남산 롯데캐슬 아이리스,2011,19,44.99,"    54,500"
1,11140, 회현동1가,2015,7,1~10,남산 SK LEADERS VIEW,2010,28,244.74,"   300,000"
2,11140, 회현동1가,2015,7,1~10,남산 롯데캐슬 아이리스,2011,22,40.9,"    52,000"
3,11140, 회현동1가,2015,7,11~20,별장,1980,4,40.33,"    13,000"
4,11140, 남산동2가,2015,7,11~20,남산퍼시픽,2003,1,82.04,"    45,000"
5,11140, 충무로4가,2015,7,11~20,진양상가,1970,5,107.9,"    44,500"
6,11140, 인현동2가,2015,7,11~20,신성상가,1968,7,42.31,"    14,800"
7,11140, 예장동,2015,7,1~10,삼익,1999,4,84.42,"    42,000"
8,11140, 신당동,2015,7,1~10,노블레스2,2002,3,84.78,"    37,000"
9,11140, 신당동,2015,7,1~10,현대,1993,10,66.6,"    30,000"
0,11140, 남대문로5가,2015,8,11~20,남산트라팰리스,2010,35,142.23,"   136,000"
