,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
9,11290, 돈암동,2016,9,1~10,동소문현대,1994,11,84.72,"    37,000"
0,11290, 돈암동,2016,10,1~10,한신,1998,15,113.67,"    55,000"
1,11290, 돈암동,2016,10,1~10,돈암현대아파트,1991,6,55.89,"    29,500"
2,11290, 돈암동,2016,10,1~10,이수브라운스톤돈암,2004,18,59.99,"    44,500"
3,11290, 돈암동,2016,10,1~10,이수브라운스톤돈암,2004,2,59.99,"    40,500"
4,11290, 돈암동,2016,10,1~10,일신건영휴먼빌아파트,2005,13,117.16,"    54,700"
5,11290, 돈암동,2016,10,1~10,한진(609-1),1998,10,84.87,"    43,000"
6,11290, 돈암동,2016,10,1~10,돈암현대아파트,1991,15,84.8,"    36,900"
7,11290, 돈암동,2016,10,1~10,일신건영휴먼빌아파트,2005,14,143.51,"    60,000"
8,11290, 돈암동,2016,10,1~10,이수브라운스톤돈암,2004,6,59.99,"    42,700"
9,11290, 돈암동,2016,10,1~10,한진(609-1),1998,15,59.58,"    31,700"
0,11290, 돈암동,2016,11,1~10,한진(609-1),1998,1,59.58,"    29,400"
1,11290, 돈암동,2016,11,1~10,이수브라운스톤돈암,2004,4,59.99,"    40,500"
2,11290, 돈암동,2016,11,1~10,한진(609-1),1998,4,113.67,"    47,500"
3,11290, 돈암동,2016,11,1~10,길음역금호어울림센터힐,2014,4,84.88,"    55,000"
4,11290, 돈암동,2016,11,1~10,동소문현대,1994,5,84.72,"    36,500"
5,11290, 돈암동,2016,11,1~10,한진(609-1),1998,3,152.25,"    53,250"
6,11290, 돈암동,2016,11,1~10,한진(609-1),1998,4,84.87,"    42,000"
7,11290, 돈암동,2016,11,1~10,돈암힐스테이트,2007,2,112.42,"    54,250"
8,11290, 돈암동,2016,11,1~10,돈암현대아파트,1991,9,41.58,"    24,300"
9,11290, 돈암동,2016,11,1~10,한진(609-1),1998,14,84.87,"    45,100"
0,11290, 돈암동,2016,12,1~10,동부센트레빌,2003,15,115.51,"    57,000"
1,11290, 돈암동,2016,12,1~10,대성유니드(641-0),2009,14,84.94,"    42,200"
2,11290, 돈암동,2016,12,1~10,길음역금호어울림센터힐,2014,20,59.84,"    47,700"
3,11290, 돈암동,2016,12,1~10,한신,1998,12,132.96,"    58,000"
4,11290, 돈암동,2016,12,1~10,이수브라운스톤돈암,2004,14,84.97,"    52,000"
5,11290, 돈암동,2016,12,1~10,이수브라운스톤돈암,2004,14,59.99,"    43,000"
6,11290, 돈암동,2016,12,1~10,돈암동삼성,1999,19,114.66,"    52,000"
7,11290, 돈암동,2016,12,1~10,돈암현대아파트,1991,12,41.58,"    25,850"
8,11290, 돈암동,2016,12,1~10,동부센트레빌,2003,12,81.82,"    47,800"
9,11290, 돈암동,2016,12,11~20,한신,1998,7,68.13,"    34,100"
0,11290, 돈암동,2017,1,1~10,돈암동삼성,1999,12,114.66,"    48,000"
1,11290, 돈암동,2017,1,1~10,한신,1998,13,68.13,"    35,300"
2,11290, 돈암동,2017,1,1~10,한신,1998,3,152.25,"    54,700"
3,11290, 돈암동,2017,1,1~10,이수브라운스톤돈암,2004,5,84.97,"    47,800"
4,11290, 돈암동,2017,1,1~10,길음역금호어울림센터힐,2014,5,84.88,"    58,000"
5,11290, 돈암동,2017,1,1~10,돈암동 해피트리,2013,7,132.43,"    63,000"
6,11290, 돈암동,2017,1,1~10,한신,1998,1,68.13,"    32,700"
7,11290, 돈암동,2017,1,1~10,범양,1998,5,84.92,"    38,700"
8,11290, 돈암동,2017,1,1~10,이수브라운스톤돈암,2004,16,59.99,"    42,000"
9,11290, 돈암동,2017,1,1~10,이수브라운스톤돈암,2004,13,59.99,"    42,000"
0,11290, 돈암동,2017,2,1~10,이수브라운스톤돈암,2004,3,84.97,"    47,750"
1,11290, 돈암동,2017,2,1~10,한신,1998,12,68.13,"    35,500"
2,11290, 돈암동,2017,2,1~10,동소문현대,1994,10,84.72,"    36,800"
3,11290, 돈암동,2017,2,1~10,일신건영휴먼빌아파트,2005,15,84.98,"    46,000"
4,11290, 돈암동,2017,2,1~10,한신,1998,11,68.13,"    35,500"
5,11290, 돈암동,2017,2,1~10,한진(609-1),1998,6,59.58,"    31,200"
6,11290, 돈암동,2017,2,1~10,한진(609-1),1998,6,113.67,"    53,500"
7,11290, 돈암동,2017,2,1~10,한진(609-1),1998,11,59.58,"    32,000"
8,11290, 돈암동,2017,2,11~20,일신건영휴먼빌아파트,2005,18,84.98,"    44,250"
9,11290, 돈암동,2017,2,11~20,한신,1998,6,68.13,"    36,150"
0,11290, 성북동,2017,3,1~10,성북,1971,3,44.79,"    17,630"
1,11290, 돈암동,2017,3,1~10,한진(609-1),1998,3,84.87,"    41,800"
2,11290, 돈암동,2017,3,1~10,돈암동더샵아파트,2006,8,84.817,"    43,700"
3,11290, 돈암동,2017,3,1~10,한진(609-1),1998,11,152.25,"    62,500"
4,11290, 돈암동,2017,3,1~10,이수브라운스톤돈암,2004,3,59.99,"    42,500"
5,11290, 돈암동,2017,3,1~10,한신,1998,13,68.13,"    35,700"
6,11290, 돈암동,2017,3,1~10,한진(609-1),1998,19,59.58,"    29,000"
7,11290, 돈암동,2017,3,1~10,이수브라운스톤돈암,2004,2,59.99,"    39,700"
8,11290, 돈암동,2017,3,1~10,일신건영휴먼빌아파트,2005,5,117.16,"    51,800"
9,11290, 돈암동,2017,3,1~10,돈암현대아파트,1991,7,41.58,"    25,500"
0,11290, 성북동,2017,4,11~20,주암,1972,3,48.73,"    20,000"
1,11290, 돈암동,2017,4,1~10,한진(609-1),1998,6,84.87,"    42,000"
2,11290, 돈암동,2017,4,1~10,한신,1998,15,84.87,"    46,950"
3,11290, 돈암동,2017,4,1~10,이수브라운스톤돈암,2004,10,59.99,"    41,800"
4,11290, 돈암동,2017,4,1~10,돈암동더샵아파트,2006,11,84.817,"    43,200"
5,11290, 돈암동,2017,4,1~10,돈암현대아파트,1991,7,41.58,"    24,500"
6,11290, 돈암동,2017,4,1~10,한신,1998,15,113.67,"    48,100"
7,11290, 돈암동,2017,4,1~10,한진(609-1),1998,8,59.58,"    31,000"
8,11290, 돈암동,2017,4,1~10,돈암동 풍림아파트 101~105동,1999,13,114.41,"    44,000"
9,11290, 돈암동,2017,4,1~10,한진(609-1),1998,20,59.58,"    30,800"
0,11290, 성북동,2017,5,1~10,성북좋은,2002,4,92.57,"    29,000"
1,11290, 성북동,2017,5,21~31,성북좋은,2002,2,113.54,"    57,500"
2,11290, 돈암동,2017,5,1~10,이수브라운스톤돈암,2004,15,84.97,"    49,700"
3,11290, 돈암동,2017,5,1~10,이수브라운스톤돈암,2004,11,84.97,"    51,800"
4,11290, 돈암동,2017,5,1~10,일신건영휴먼빌아파트,2005,3,117.16,"    50,000"
5,11290, 돈암동,2017,5,1~10,한신,1998,3,132.96,"    57,600"
6,11290, 돈암동,2017,5,1~10,한신,1998,10,152.25,"    55,500"
7,11290, 돈암동,2017,5,1~10,한진(609-1),1998,17,59.58,"    31,500"
8,11290, 돈암동,2017,5,1~10,돈암현대아파트,1991,9,41.58,"    25,700"
9,11290, 돈암동,2017,5,1~10,성일우리미,2004,6,84.95,"    39,800"
0,11290, 성북동,2017,6,21~30,주암,1972,3,48.73,"    20,000"
1,11290, 돈암동,2017,6,1~10,일신건영휴먼빌아파트,2005,16,117.16,"    51,500"
2,11290, 돈암동,2017,6,1~10,일신건영휴먼빌아파트,2005,16,117.16,"    53,000"
3,11290, 돈암동,2017,6,1~10,동부센트레빌,2003,1,80.54,"    44,100"
4,11290, 돈암동,2017,6,1~10,성일우리미,2004,5,84.95,"    40,000"
5,11290, 돈암동,2017,6,1~10,돈암동 풍림아파트 101~105동,1999,1,84.68,"    35,000"
6,11290, 돈암동,2017,6,1~10,돈암동 풍림아파트 101~105동,1999,1,114.41,"    42,000"
7,11290, 돈암동,2017,6,1~10,이수브라운스톤돈암,2004,3,59.99,"    40,800"
8,11290, 돈암동,2017,6,1~10,돈암동삼성,1999,9,84.59,"    41,000"
9,11290, 돈암동,2017,6,1~10,돈암현대아파트,1991,5,41.58,"    24,600"
0,11290, 성북동1가,2017,7,1~10,휴아름 스튜디오,2015,11,13.28,"    16,000"
1,11290, 돈암동,2017,7,1~10,범양,1998,10,114.93,"    41,500"
2,11290, 돈암동,2017,7,1~10,동부센트레빌,2003,7,80.54,"    47,600"
3,11290, 돈암동,2017,7,1~10,이수브라운스톤돈암,2004,2,114.89,"    59,200"
4,11290, 돈암동,2017,7,1~10,한진(609-1),1998,10,84.87,"    44,100"
5,11290, 돈암동,2017,7,1~10,한신,1998,3,68.13,"    37,000"
6,11290, 돈암동,2017,7,1~10,범양,1998,15,59.79,"    35,000"
7,11290, 돈암동,2017,7,1~10,한신,1998,11,132.96,"    59,500"
8,11290, 돈암동,2017,7,1~10,한진(609-1),1998,14,84.87,"    44,000"
9,11290, 돈암동,2017,7,1~10,한신,1998,4,68.13,"    35,500"
0,11290, 성북동,2017,8,11~20,성북,1971,6,37.36,"    14,000"
1,11290, 돈암동,2017,8,1~10,한진(609-1),1998,8,113.67,"    52,000"
2,11290, 돈암동,2017,8,1~10,돈암동삼성,1999,10,114.66,"    50,500"
3,11290, 돈암동,2017,8,1~10,범양,1998,16,84.92,"    41,000"
4,11290, 돈암동,2017,8,1~10,이수브라운스톤돈암,2004,3,84.97,"    52,800"
5,11290, 돈암동,2017,8,1~10,이수브라운스톤돈암,2004,1,114.89,"    65,500"
6,11290, 돈암동,2017,8,1~10,돈암동삼성,1999,21,84.59,"    44,000"
7,11290, 돈암동,2017,8,1~10,한신,1998,20,68.13,"    36,000"
8,11290, 돈암동,2017,8,1~10,한신,1998,13,84.87,"    50,000"
9,11290, 돈암동,2017,8,1~10,돈암동삼성,1999,2,59.4,"    32,800"
0,11290, 돈암동,2017,9,1~10,돈암동삼성,1999,1,84.59,"    40,500"
1,11290, 돈암동,2017,9,1~10,돈암동더샵아파트,2006,20,84.817,"    43,000"
2,11290, 돈암동,2017,9,1~10,범양,1998,9,84.92,"    42,500"
3,11290, 돈암동,2017,9,1~10,돈암동삼성,1999,17,59.4,"    36,200"
4,11290, 돈암동,2017,9,1~10,동부센트레빌,2003,6,81.82,"    48,000"
5,11290, 돈암동,2017,9,1~10,일신건영휴먼빌아파트,2005,20,84.98,"    47,200"
6,11290, 돈암동,2017,9,1~10,이수브라운스톤돈암,2004,12,84.97,"    52,000"
7,11290, 돈암동,2017,9,1~10,한진(609-1),1998,19,84.87,"    46,900"
8,11290, 돈암동,2017,9,1~10,돈암코오롱하늘채,2016,5,84.869,"    63,800"
9,11290, 돈암동,2017,9,1~10,돈암힐스테이트,2007,12,84.54,"    51,500"
0,11290, 돈암동,2017,10,1~10,돈암현대아파트,1991,11,41.58,"    26,500"
1,11290, 돈암동,2017,10,11~20,이수브라운스톤돈암,2004,15,84.97,"    53,700"
2,11290, 돈암동,2017,10,11~20,구현대,1981,2,51.47,"    22,800"
3,11290, 돈암동,2017,10,11~20,이수브라운스톤돈암,2004,12,59.99,"    45,600"
4,11290, 돈암동,2017,10,11~20,길음역금호어울림센터힐,2014,16,84.77,"    59,500"
5,11290, 돈암동,2017,10,11~20,한진(609-1),1998,6,59.58,"    34,700"
6,11290, 돈암동,2017,10,11~20,돈암동삼성,1999,17,84.59,"    43,000"
7,11290, 돈암동,2017,10,11~20,한진(609-1),1998,20,59.58,"    32,700"
8,11290, 돈암동,2017,10,11~20,한신,1998,3,68.13,"    36,200"
9,11290, 돈암동,2017,10,11~20,일신건영휴먼빌아파트,2005,19,84.98,"    47,500"
0,11290, 돈암동,2017,11,1~10,돈암동 해피트리,2013,1,84.98,"    50,000"
1,11290, 돈암동,2017,11,1~10,돈암동 풍림아파트 101~105동,1999,8,84.68,"    37,500"
2,11290, 돈암동,2017,11,1~10,한진(609-1),1998,3,59.58,"    31,950"
3,11290, 돈암동,2017,11,1~10,한신,1998,9,113.67,"    55,500"
4,11290, 돈암동,2017,11,1~10,동부센트레빌,2003,6,80.54,"    47,000"
5,11290, 돈암동,2017,11,1~10,돈암동더샵아파트,2006,3,84.817,"    45,000"
6,11290, 돈암동,2017,11,1~10,돈암동삼성,1999,10,59.4,"    36,000"
7,11290, 돈암동,2017,11,1~10,한신,1998,6,132.96,"    56,500"
8,11290, 돈암동,2017,11,1~10,범양,1998,14,59.79,"    35,800"
9,11290, 돈암동,2017,11,1~10,이수브라운스톤돈암,2004,4,84.97,"    51,800"
0,11290, 돈암동,2017,12,1~10,범양,1998,3,84.92,"    40,800"
1,11290, 돈암동,2017,12,1~10,범양,1998,2,59.79,"    32,500"
2,11290, 돈암동,2017,12,1~10,삼성 아지오 아파트,2007,2,85,"    31,000"
3,11290, 돈암동,2017,12,1~10,한진(609-1),1998,11,84.87,"    49,000"
4,11290, 돈암동,2017,12,1~10,길음역금호어울림센터힐,2014,6,84.88,"    60,000"
5,11290, 돈암동,2017,12,1~10,돈암힐스테이트,2007,6,112.42,"    56,500"
6,11290, 돈암동,2017,12,1~10,이수브라운스톤돈암,2004,4,114.89,"    62,000"
7,11290, 돈암동,2017,12,1~10,돈암동 해피트리,2013,10,84.98,"    55,000"
8,11290, 돈암동,2017,12,1~10,돈암동 해피트리,2013,2,84.98,"    51,000"
9,11290, 돈암동,2017,12,1~10,길음역금호어울림센터힐,2014,5,84.77,"    56,000"
0,11305, 미아동,2014,1,1~10,에스케이북한산시티,2004,14,59.98,"    26,000"
1,11305, 미아동,2014,1,1~10,래미안트리베라1단지,2010,12,84.97,"    41,500"
2,11305, 미아동,2014,1,1~10,에스케이북한산시티,2004,13,84.86,"    32,700"
3,11305, 미아동,2014,1,1~10,경남아너스빌,2008,13,84.9134,"    35,500"
4,11305, 미아동,2014,1,1~10,에스케이북한산시티,2004,7,59.98,"    27,000"
5,11305, 미아동,2014,1,1~10,경남아너스빌(1356-0),2003,19,84.873,"    33,900"
6,11305, 미아동,2014,1,1~10,에스케이북한산시티,2004,4,84.76,"    32,000"
7,11305, 미아동,2014,1,1~10,미아1차래미안,2006,10,59.9,"    33,000"
8,11305, 미아동,2014,1,1~10,삼각산아이원,2003,6,84.705,"    33,100"
9,11305, 미아동,2014,1,1~10,삼각산아이원,2003,8,84.705,"    34,400"
0,11305, 미아동,2014,2,1~10,미아한일유앤아이,2002,14,116.912,"    40,000"
1,11305, 미아동,2014,2,1~10,에스케이북한산시티,2004,12,59.98,"    26,700"
2,11305, 미아동,2014,2,1~10,에스케이북한산시티,2004,20,59.98,"    27,000"
3,11305, 미아동,2014,2,1~10,경남아너스빌,2008,11,81.9853,"    35,750"
4,11305, 미아동,2014,2,1~10,에스케이북한산시티,2004,9,84.92,"    33,000"
5,11305, 미아동,2014,2,1~10,에스케이북한산시티,2004,17,114.85,"    38,500"
6,11305, 미아동,2014,2,1~10,래미안트리베라1단지,2010,7,84.97,"    41,500"
7,11305, 미아동,2014,2,1~10,경남아너스빌(1356-0),2003,13,84.873,"    35,500"
8,11305, 미아동,2014,2,1~10,두산위브트레지움,2011,10,59.54,"    33,500"
9,11305, 미아동,2014,2,1~10,경남아너스빌,2008,4,84.9351,"    36,500"
0,11305, 미아동,2014,3,1~10,두산위브트레지움,2011,11,84.97,"    41,750"
1,11305, 미아동,2014,3,1~10,경남아너스빌(1356-0),2003,8,59.964,"    28,500"
2,11305, 미아동,2014,3,1~10,에스케이북한산시티,2004,16,114.85,"    37,800"
3,11305, 미아동,2014,3,1~10,에스케이북한산시티,2004,18,59.98,"    27,700"
4,11305, 미아동,2014,3,1~10,송천센트레빌,2010,1,114.475,"    59,250"
5,11305, 미아동,2014,3,1~10,삼성래미안트리베라2단지,2010,9,84.29,"    47,450"
6,11305, 미아동,2014,3,1~10,래미안트리베라1단지,2010,16,84.97,"    42,700"
7,11305, 미아동,2014,3,1~10,삼각산아이원,2003,19,114.88,"    42,000"
8,11305, 미아동,2014,3,1~10,삼성래미안트리베라2단지,2010,12,84.29,"    47,500"
9,11305, 미아동,2014,3,1~10,에스케이북한산시티,2004,3,59.98,"    25,800"
0,11305, 미아동,2014,4,1~10,신일해피트리,2006,4,59.27,"    24,700"
1,11305, 미아동,2014,4,1~10,경남아너스빌(1356-0),2003,12,84.873,"    37,400"
2,11305, 미아동,2014,4,1~10,에스케이북한산시티,2004,15,59.98,"    27,700"
3,11305, 미아동,2014,4,1~10,삼성래미안트리베라2단지,2010,17,84.29,"    47,000"
4,11305, 미아동,2014,4,1~10,두산위브트레지움,2011,2,84.99,"    39,000"
5,11305, 미아동,2014,4,1~10,에스케이북한산시티,2004,22,84.92,"    33,000"
6,11305, 미아동,2014,4,1~10,삼성래미안트리베라2단지,2010,9,113.89,"    57,200"
7,11305, 미아동,2014,4,1~10,에스케이북한산시티,2004,19,59.98,"    26,450"
8,11305, 미아동,2014,4,1~10,에스케이북한산시티,2004,4,84.86,"    32,800"
9,11305, 미아동,2014,4,1~10,에스케이북한산시티,2004,11,59.98,"    28,000"
0,11305, 미아동,2014,5,1~10,미아1차래미안,2006,4,84.58,"    41,250"
1,11305, 미아동,2014,5,1~10,삼각산아이원,2003,4,84.705,"    35,000"
2,11305, 미아동,2014,5,1~10,경남아너스빌(1356-0),2003,10,59.964,"    27,700"
3,11305, 미아동,2014,5,1~10,미아동부센트레빌,2006,12,59.96,"    33,800"
4,11305, 미아동,2014,5,1~10,래미안트리베라1단지,2010,13,59.6,"    36,300"
5,11305, 미아동,2014,5,1~10,송천센트레빌,2010,6,59.818,"    36,900"
6,11305, 미아동,2014,5,1~10,래미안트리베라1단지,2010,7,59.6,"    31,950"
7,11305, 미아동,2014,5,1~10,두산위브트레지움,2011,4,84.99,"    40,800"
8,11305, 미아동,2014,5,1~10,삼성래미안트리베라2단지,2010,5,58.99,"    34,300"
9,11305, 미아동,2014,5,1~10,삼성래미안트리베라2단지,2010,6,59.33,"    32,800"
0,11305, 미아동,2014,6,1~10,두원프라자,1996,6,56.1,"    21,800"
1,11305, 미아동,2014,6,1~10,에스케이북한산시티,2004,15,114.85,"    43,400"
2,11305, 미아동,2014,6,1~10,삼성래미안트리베라2단지,2010,20,113.89,"    53,300"
3,11305, 미아동,2014,6,1~10,삼성래미안트리베라2단지,2010,7,113.89,"    57,900"
4,11305, 미아동,2014,6,1~10,삼각산아이원,2003,7,114.88,"    42,800"
5,11305, 미아동,2014,6,1~10,삼각산아이원,2003,12,84.705,"    34,300"
6,11305, 미아동,2014,6,1~10,삼각산아이원,2003,10,114.88,"    43,800"
7,11305, 미아동,2014,6,1~10,벽산라이브파크,2004,17,114.68,"    37,000"
8,11305, 미아동,2014,6,1~10,삼성래미안트리베라2단지,2010,10,59.38,"    35,300"
9,11305, 미아동,2014,6,1~10,래미안트리베라1단지,2010,18,84.97,"    41,800"
0,11305, 미아동,2014,7,1~10,두산위브트레지움,2011,6,114.88,"    59,500"
1,11305, 미아동,2014,7,1~10,에스케이북한산시티,2004,4,84.71,"    33,200"
2,11305, 미아동,2014,7,1~10,송천센트레빌,2010,7,84.867,"    48,250"
3,11305, 미아동,2014,7,1~10,에스케이북한산시티,2004,8,84.92,"    31,900"
4,11305, 미아동,2014,7,1~10,삼각산아이원,2003,15,59.758,"    28,000"
5,11305, 미아동,2014,7,1~10,에스케이북한산시티,2004,8,59.98,"    27,000"
6,11305, 미아동,2014,7,1~10,삼성래미안트리베라2단지,2010,5,58.99,"    35,000"
7,11305, 미아동,2014,7,1~10,삼각산아이원,2003,6,114.88,"    39,000"
8,11305, 미아동,2014,7,1~10,벽산라이브파크,2004,9,60,"    25,800"
9,11305, 미아동,2014,7,1~10,경남아너스빌,2008,12,84.9134,"    38,200"
0,11305, 미아동,2014,8,1~10,경남아너스빌,2008,14,84.9134,"    36,650"
1,11305, 미아동,2014,8,1~10,경남아너스빌(1356-0),2003,4,59.964,"    28,000"
2,11305, 미아동,2014,8,1~10,미아동부센트레빌,2006,15,84.92,"    40,500"
3,11305, 미아동,2014,8,1~10,미아동부센트레빌,2006,2,59.96,"    31,200"
4,11305, 미아동,2014,8,1~10,래미안트리베라1단지,2010,8,114.98,"    56,000"
5,11305, 미아동,2014,8,1~10,래미안트리베라1단지,2010,9,59.6,"    36,000"
6,11305, 미아동,2014,8,1~10,삼성래미안트리베라2단지,2010,8,58.99,"    37,000"
7,11305, 미아동,2014,8,1~10,래미안트리베라1단지,2010,4,59.6,"    32,700"
8,11305, 미아동,2014,8,1~10,에스케이북한산시티,2004,10,59.98,"    27,800"
9,11305, 미아동,2014,8,1~10,미아1차래미안,2006,5,84.58,"    41,500"
0,11305, 미아동,2014,9,1~10,삼성래미안트리베라2단지,2010,8,84.18,"    42,600"
1,11305, 미아동,2014,9,1~10,경남아너스빌(1356-0),2003,12,114.922,"    42,000"
2,11305, 미아동,2014,9,1~10,에스케이북한산시티,2004,16,84.71,"    35,750"
3,11305, 미아동,2014,9,1~10,두산위브트레지움,2011,4,59.99,"    33,900"
4,11305, 미아동,2014,9,1~10,에스케이북한산시티,2004,25,114.85,"    38,900"
5,11305, 미아동,2014,9,1~10,미아동부센트레빌,2006,7,59.96,"    33,700"
6,11305, 미아동,2014,9,1~10,경남아너스빌(1356-0),2003,13,114.922,"    42,500"
7,11305, 미아동,2014,9,1~10,에스케이북한산시티,2004,13,59.98,"    27,800"
8,11305, 미아동,2014,9,1~10,미아동부센트레빌,2006,5,59.96,"    33,800"
9,11305, 미아동,2014,9,1~10,에스케이북한산시티,2004,5,59.98,"    28,900"
0,11305, 미아동,2014,10,1~10,성북프라자,2009,9,68.675,"    26,800"
1,11305, 미아동,2014,10,1~10,미아신구,2000,11,84.94,"    26,500"
2,11305, 미아동,2014,10,1~10,삼각산아이원,2003,9,84.705,"    34,750"
3,11305, 미아동,2014,10,1~10,에스케이북한산시티,2004,11,84.76,"    36,000"
4,11305, 미아동,2014,10,1~10,에스케이북한산시티,2004,11,84.71,"    34,000"
5,11305, 미아동,2014,10,1~10,두산위브트레지움,2011,3,59.54,"    35,100"
6,11305, 미아동,2014,10,1~10,송천센트레빌,2010,4,84.965,"    46,700"
7,11305, 미아동,2014,10,1~10,삼각산아이원,2003,3,84.705,"    34,800"
8,11305, 미아동,2014,10,1~10,두산위브트레지움,2011,8,59.82,"    35,600"
9,11305, 미아동,2014,10,1~10,에스케이북한산시티,2004,20,84.92,"    35,800"
0,11305, 미아동,2014,11,1~10,래미안트리베라1단지,2010,15,59.6,"    35,700"
1,11305, 미아동,2014,11,1~10,벽산라이브파크,2004,18,59.67,"    24,900"
2,11305, 미아동,2014,11,1~10,에스케이북한산시티,2004,5,84.71,"    35,500"
3,11305, 미아동,2014,11,1~10,현대(190-2),1992,2,84.91,"    32,000"
4,11305, 미아동,2014,11,1~10,두산위브트레지움,2011,14,59.99,"    34,500"
5,11305, 미아동,2014,11,1~10,벽산라이브파크,2004,22,60,"    26,500"
6,11305, 미아동,2014,11,1~10,래미안트리베라1단지,2010,10,84.97,"    45,700"
7,11305, 미아동,2014,11,1~10,두산위브트레지움,2011,15,59.99,"    34,400"
8,11305, 미아동,2014,11,1~10,두산위브트레지움,2011,2,59.54,"    34,300"
9,11305, 미아동,2014,11,1~10,경남아너스빌(1356-0),2003,2,59.964,"    27,000"
0,11305, 미아동,2014,12,1~10,경남아너스빌,2008,15,84.9351,"    40,000"
1,11305, 미아동,2014,12,1~10,벽산라이브파크,2004,25,84.89,"    32,400"
2,11305, 미아동,2014,12,1~10,삼각산아이원,2003,2,84.705,"    31,300"
3,11305, 미아동,2014,12,1~10,미아1차래미안,2006,3,84.58,"    41,000"
4,11305, 미아동,2014,12,1~10,에스케이북한산시티,2004,1,114.85,"    38,500"
5,11305, 미아동,2014,12,1~10,벽산라이브파크,2004,11,60,"    26,300"
6,11305, 미아동,2014,12,1~10,삼성래미안트리베라2단지,2010,9,84.29,"    47,500"
7,11305, 미아동,2014,12,1~10,벽산라이브파크,2004,18,60,"    26,300"
8,11305, 미아동,2014,12,1~10,신일해피트리,2006,12,59.27,"    24,400"
9,11305, 미아동,2014,12,1~10,래미안트리베라1단지,2010,14,59.6,"    37,000"
0,11305, 미아동,2015,1,1~10,에스케이북한산시티,2004,12,84.71,"    32,000"
1,11305, 미아동,2015,1,1~10,두산위브트레지움,2011,18,84.95,"    45,900"
2,11305, 미아동,2015,1,1~10,현대(190-2),1992,5,84.91,"    31,750"
3,11305, 미아동,2015,1,1~10,삼각산아이원,2003,14,84.705,"    37,000"
4,11305, 미아동,2015,1,1~10,경남아너스빌(1356-0),2003,16,59.964,"    29,100"
5,11305, 미아동,2015,1,1~10,삼각산아이원,2003,2,84.705,"    33,500"
6,11305, 미아동,2015,1,1~10,에스케이북한산시티,2004,25,114.85,"    37,000"
7,11305, 미아동,2015,1,1~10,삼성래미안트리베라2단지,2010,19,59.38,"    37,000"
8,11305, 미아동,2015,1,1~10,래미안트리베라1단지,2010,14,84.97,"    45,400"
9,11305, 미아동,2015,1,1~10,에스케이북한산시티,2004,18,84.71,"    36,400"
0,11305, 미아동,2015,2,1~10,경남아너스빌(1356-0),2003,1,114.922,"    37,900"
1,11305, 미아동,2015,2,1~10,경남아너스빌(1356-0),2003,4,59.964,"    28,400"
2,11305, 미아동,2015,2,1~10,젬스톤타운,2006,7,78.09,"    29,200"
3,11305, 미아동,2015,2,1~10,에스케이북한산시티,2004,22,84.76,"    35,200"
4,11305, 미아동,2015,2,1~10,삼각산아이원,2003,23,84.705,"    40,000"
5,11305, 미아동,2015,2,1~10,두산위브트레지움,2011,23,59.54,"    33,300"
6,11305, 미아동,2015,2,1~10,에스케이북한산시티,2004,11,84.92,"    35,500"
7,11305, 미아동,2015,2,1~10,현대성우,1998,5,59.4,"    23,800"
8,11305, 미아동,2015,2,1~10,래미안트리베라1단지,2010,6,59.6,"    36,625"
9,11305, 미아동,2015,2,1~10,에스케이북한산시티,2004,14,59.98,"    27,900"
0,11305, 미아동,2015,3,1~10,경남아너스빌(1356-0),2003,1,84.873,"    33,500"
1,11305, 미아동,2015,3,1~10,미아동부센트레빌,2006,12,84.92,"    43,400"
2,11305, 미아동,2015,3,1~10,미아동부센트레빌,2006,3,84.93,"    42,700"
3,11305, 미아동,2015,3,1~10,에스케이북한산시티,2004,23,84.71,"    34,950"
4,11305, 미아동,2015,3,1~10,래미안트리베라1단지,2010,11,84.97,"    47,000"
5,11305, 미아동,2015,3,1~10,에스케이북한산시티,2004,11,59.98,"    27,100"
6,11305, 미아동,2015,3,1~10,신일해피트리,2006,3,83.72,"    31,700"
7,11305, 미아동,2015,3,1~10,두산위브트레지움,2011,1,84.99,"    39,000"
8,11305, 미아동,2015,3,1~10,경남아너스빌(1356-0),2003,14,84.873,"    38,500"
9,11305, 미아동,2015,3,1~10,래미안트리베라1단지,2010,15,114.98,"    52,200"
0,11305, 미아동,2015,4,1~10,삼성래미안트리베라2단지,2010,12,84.29,"    43,800"
1,11305, 미아동,2015,4,1~10,경남아너스빌(1356-0),2003,22,114.922,"    43,200"
2,11305, 미아동,2015,4,1~10,에스케이북한산시티,2004,14,84.86,"    32,800"
3,11305, 미아동,2015,4,1~10,래미안트리베라1단지,2010,18,114.98,"    54,800"
4,11305, 미아동,2015,4,1~10,두산위브트레지움,2011,11,84.99,"    42,900"
5,11305, 미아동,2015,4,1~10,두산위브트레지움,2011,2,84.97,"    42,400"
6,11305, 미아동,2015,4,1~10,미아한일유앤아이,2002,11,84.552,"    36,000"
7,11305, 미아동,2015,4,1~10,미아동부센트레빌,2006,5,84.92,"    41,300"
8,11305, 미아동,2015,4,1~10,경남아너스빌(1356-0),2003,3,84.873,"    37,300"
9,11305, 미아동,2015,4,1~10,에스케이북한산시티,2004,11,59.98,"    28,200"
0,11305, 미아동,2015,5,1~10,미아한일유앤아이,2002,1,129.784,"    39,500"
